# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     0.000260376     0.000260376     0.000260376
     0.000106333     0.000276264     0.000276264     0.000276264
     0.000113066      0.00029312      0.00029312      0.00029312
     0.000120226     0.000311004     0.000311004     0.000311004
      0.00012784     0.000329978     0.000329978     0.000329978
     0.000135936     0.000350108     0.000350108     0.000350108
     0.000144544     0.000371463     0.000371463     0.000371463
     0.000153697      0.00039412      0.00039412      0.00039412
     0.000163431     0.000418156     0.000418156     0.000418156
      0.00017378     0.000443654     0.000443654     0.000443654
     0.000184785     0.000470704     0.000470704     0.000470704
     0.000196487     0.000499398     0.000499398     0.000499398
      0.00020893     0.000529836     0.000529836     0.000529836
      0.00022216     0.000562124     0.000562124     0.000562124
     0.000236229     0.000596371     0.000596371     0.000596371
     0.000251189     0.000632696     0.000632696     0.000632696
     0.000267096     0.000671223     0.000671223     0.000671223
      0.00028401     0.000712083     0.000712083     0.000712083
     0.000301995     0.000755416     0.000755416     0.000755416
     0.000321119     0.000801367     0.000801367     0.000801367
     0.000341455     0.000850093     0.000850093     0.000850093
     0.000363078     0.000901756     0.000901756     0.000901756
     0.000386071     0.000956529     0.000956529     0.000956529
     0.000410519      0.00101459      0.00101459      0.00101459
     0.000436516      0.00107614      0.00107614      0.00107614
     0.000464159      0.00114137      0.00114137      0.00114137
     0.000493552      0.00121049      0.00121049      0.00121049
     0.000524807      0.00128374      0.00128374      0.00128374
     0.000558042      0.00136133      0.00136133      0.00136133
     0.000593381      0.00144351      0.00144351      0.00144351
     0.000630957      0.00153054      0.00153054      0.00153054
     0.000670914      0.00162268      0.00162268      0.00162268
       0.0007134      0.00172021      0.00172021      0.00172021
     0.000758578      0.00182341      0.00182341      0.00182341
     0.000806616      0.00193258      0.00193258      0.00193258
     0.000857696      0.00204803      0.00204803      0.00204803
     0.000912011      0.00217008      0.00217008      0.00217008
     0.000969765      0.00229905      0.00229905      0.00229905
      0.00103118      0.00243527      0.00243527      0.00243527
      0.00109648      0.00257908      0.00257908      0.00257908
      0.00116591      0.00273083      0.00273083      0.00273083
      0.00123975      0.00289085      0.00289085      0.00289085
      0.00131826       0.0030595       0.0030595       0.0030595
      0.00140174      0.00323712      0.00323712      0.00323712
       0.0014905      0.00342405      0.00342405      0.00342405
      0.00158489      0.00362062      0.00362062      0.00362062
      0.00168526      0.00382714      0.00382714      0.00382714
      0.00179198      0.00404391      0.00404391      0.00404391
      0.00190546      0.00427122      0.00427122      0.00427122
      0.00202613       0.0045093       0.0045093       0.0045093
      0.00215443      0.00475838      0.00475838      0.00475838
      0.00229087      0.00501862      0.00501862      0.00501862
      0.00243594      0.00529017      0.00529017      0.00529017
       0.0025902       0.0055731       0.0055731       0.0055731
      0.00275423      0.00586741      0.00586741      0.00586741
      0.00292864      0.00617305      0.00617305      0.00617305
      0.00311411      0.00648988      0.00648988      0.00648988
      0.00331131      0.00681769      0.00681769      0.00681769
      0.00352101      0.00715613      0.00715613      0.00715613
      0.00374398       0.0075048       0.0075048       0.0075048
      0.00398107      0.00786315      0.00786315      0.00786315
      0.00423318       0.0082305       0.0082305       0.0082305
      0.00450125      0.00860607      0.00860607      0.00860607
       0.0047863      0.00898891      0.00898891      0.00898891
       0.0050894      0.00937793      0.00937793      0.00937793
       0.0054117      0.00977188      0.00977188      0.00977188
       0.0057544       0.0101693       0.0101693       0.0101693
      0.00611881       0.0105687       0.0105687       0.0105687
